index,syst,chain,tm1,tm2,min,max,pdb
 118,1olc_B_A-B_0,A,0.346,0.179,0.179,0.346,1olc
 119,4gyo_C_A-B-C-D_0,B,0.243,0.167,0.167,0.243,4gyo
 120,4od7_E_C-E_2,C,0.216,0.235,0.216,0.235,4od7
 121,4c2g_B_A-B-C_0,A,0.306,0.184,0.184,0.306,4c2g
 122,1hsb_C_A-B-C_0,A,0.515,0.419,0.419,0.515,1hsb
 123,4j81_C_B-C_1,B,0.240,0.189,0.189,0.240,4j81
 124,2orz_B_A-B_0,A,0.362,0.274,0.274,0.362,2orz
 125,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.253,0.369,0.253,0.369,1kl5
 126,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.257,0.378,0.257,0.378,1kl5
 127,1d0a_G_A-B-C-G-H-I_0,A,0.277,0.332,0.277,0.332,1d0a
 128,4jwd_C_B-C_1,B,0.249,0.248,0.248,0.249,4jwd
 129,6cd9_B_A-B_0,A,0.232,0.273,0.232,0.273,6cd9
 130,3mmg_C_A-C_0,A,0.230,0.226,0.226,0.230,3mmg
 131,1evh_B_A-B_0,A,0.187,0.300,0.187,0.300,1evh
 132,4ezn_C_A-B-C-D_0,A,0.254,0.255,0.254,0.255,4ezn
 133,4b3b_C_A-C_0,A,0.254,0.245,0.245,0.254,4b3b
 134,3tcg_I_A-I_0,A,0.359,0.186,0.186,0.359,3tcg
 135,4faf_D_A-B-D_0,A,0.175,0.295,0.175,0.295,4faf
 136,4faf_D_A-B-D_0,B,0.174,0.289,0.174,0.289,4faf
 137,2b6n_B_A-B_0,A,0.230,0.192,0.192,0.230,2b6n
 138,4k3p_E_A-B-E_0,A,0.324,0.219,0.219,0.324,4k3p
 139,4wnn_T_C-D-T_3,D,0.162,0.267,0.162,0.267,4wnn
 140,4wnn_T_C-D-T_3,C,0.153,0.277,0.153,0.277,4wnn
 141,6fkp_G_C-G_2,C,0.117,0.272,0.117,0.272,6fkp
 142,3nik_X_D-X_2,D,0.170,0.327,0.170,0.327,3nik
 143,5tu5_B_A-B_0,A,0.245,0.193,0.193,0.245,5tu5
 144,3ebb_F_A-B-E-F_0,B,0.255,0.220,0.220,0.255,3ebb
