index,syst,chain,tm1,tm2,min,max,pdb
  42,3t64_F_A-B-C-F_0,B,0.276,0.258,0.258,0.276,3t64
  43,3ufm_B_A-B_0,A,0.334,0.226,0.226,0.334,3ufm
  44,5xcr_F_D-E-F_1,D,0.291,0.242,0.242,0.291,5xcr
  45,5xcr_F_D-E-F_1,E,0.308,0.259,0.259,0.308,5xcr
  46,4z8j_B_A-B_0,A,0.268,0.317,0.268,0.317,4z8j
  47,4k3m_E_A-B-E_0,A,0.336,0.151,0.151,0.336,4k3m
  48,3d9t_D_B-D_1,B,0.265,0.308,0.265,0.308,3d9t
  49,1a30_C_A-B-C_0,A,0.278,0.318,0.278,0.318,1a30
  50,1a30_C_A-B-C_0,B,0.280,0.320,0.280,0.320,1a30
  51,3o2b_D_C-D_1,C,0.256,0.281,0.256,0.281,3o2b
  52,3hda_Z_P-Z_0,P,0.308,0.138,0.138,0.308,3hda
  53,5m5r_D_A-C-D_0,A,0.380,0.152,0.152,0.380,5m5r
  54,1olc_B_A-B_0,A,0.316,0.106,0.106,0.316,1olc
  55,4mz6_A_A-C-E_0,E,0.280,0.107,0.107,0.280,4mz6
  56,2fib_B_A-B_0,A,0.332,0.200,0.200,0.332,2fib
  57,3m5m_C_B-C_1,B,0.263,0.193,0.193,0.263,3m5m
  58,6cdg_B_A-B_0,A,0.447,0.357,0.357,0.447,6cdg
  59,2g30_S_A-P-S_0,A,0.378,0.219,0.219,0.378,2g30
  60,4mvk_B_A-B_0,A,0.398,0.313,0.313,0.398,4mvk
  61,5huy_B_A-B-C_0,C,0.291,0.106,0.106,0.291,5huy
  62,5fox_C_A-C_0,A,0.303,0.206,0.206,0.303,5fox
  63,4j82_C_A-C_0,A,0.354,0.171,0.171,0.354,4j82
  64,6cd9_B_A-B_0,A,0.439,0.347,0.347,0.439,6cd9
  65,1hsb_C_A-B-C_0,A,0.440,0.238,0.238,0.440,1hsb
  66,3s9c_B_A-B_0,A,0.336,0.212,0.212,0.336,3s9c
  67,4fys_C_A-C_0,A,0.341,0.075,0.075,0.341,4fys
  68,4odk_C_A-B-C_0,A,0.292,0.252,0.252,0.292,4odk
  69,4xi7_C_A-C_0,A,0.327,0.144,0.144,0.327,4xi7
  70,5nqv_G_A-C-E-G_0,C,0.304,0.224,0.224,0.304,5nqv
  71,1vwa_M_B-D-M-P_0,C,0.435,0.437,0.435,0.437,1vwa
  72,1vwa_M_B-D-M-P_0,B,0.430,0.427,0.427,0.430,1vwa
  73,3nij_B_A-B_0,A,0.286,0.375,0.286,0.375,3nij
  74,1ok7_C_A-B-C_0,B,0.350,0.151,0.151,0.350,1ok7
  75,3ou3_C_A-B-C_0,A,0.278,0.315,0.278,0.315,3ou3
  76,3ou3_C_A-B-C_0,B,0.278,0.316,0.278,0.316,3ou3
  77,1v1t_S_A-B-S-T_0,B,0.298,0.243,0.243,0.298,1v1t
  78,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.238,0.301,0.238,0.301,2y1l
  79,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.276,0.244,0.244,0.276,2y1l
  80,4wnn_T_C-D-T_3,D,0.257,0.306,0.257,0.306,4wnn
  81,4wnn_T_C-D-T_3,C,0.219,0.279,0.219,0.279,4wnn
  82,3oqs_B_A-B_0,A,0.282,0.106,0.106,0.282,3oqs
  83,1d00_I_A-I_0,A,0.338,0.270,0.270,0.338,1d00
  84,4m38_E_A-B-E-F_0,A,0.359,0.164,0.164,0.359,4m38
  85,1w9e_S_A-B-R-S-T_0,B,0.316,0.254,0.254,0.316,1w9e
  86,4que_E_A-C-D-E-H-J_0,A,0.292,0.191,0.191,0.292,4que
  87,1str_M_B-D-M-P_0,C,0.435,0.437,0.435,0.437,1str
  88,1str_M_B-D-M-P_0,B,0.439,0.437,0.437,0.439,1str
  89,1e4x_P_H-L-P_0,L,0.302,0.205,0.205,0.302,1e4x
  90,1e4x_P_H-L-P_0,H,0.272,0.191,0.191,0.272,1e4x
  91,4dgb_B_A-B_0,A,0.310,0.253,0.253,0.310,4dgb
  92,3rc4_B_A-B_0,A,0.277,0.200,0.200,0.277,3rc4
  93,2v5w_G_B-G-L_1,B,0.337,0.149,0.149,0.337,2v5w
  94,5ovc_B_A-B_0,A,0.269,0.317,0.269,0.317,5ovc
  95,3rc5_B_A-B_0,A,0.276,0.199,0.199,0.276,3rc5
  96,4iim_E_A-B-C-D-E_0,B,0.194,0.304,0.194,0.304,4iim
  97,1gyb_E_A-B-E-F_0,A,1.000,1.000,1.000,1.000,1gyb
  98,1gyb_E_A-B-E-F_0,B,0.955,0.955,0.955,0.955,1gyb
  99,1b40_B_A-B_0,A,0.360,0.123,0.123,0.360,1b40
 100,3mmg_C_A-C_0,A,0.323,0.225,0.225,0.323,3mmg
 101,5jiu_C_A-B-C-D_0,A,0.334,0.239,0.239,0.334,5jiu
 102,3f7o_X_A-X_0,A,0.349,0.185,0.185,0.349,3f7o
 103,4k3o_E_A-B-E_0,A,0.335,0.145,0.145,0.335,4k3o
 104,1b3g_B_A-B_0,A,0.322,0.115,0.115,0.322,1b3g
 105,4gne_B_A-B_0,A,0.275,0.317,0.275,0.317,4gne
 106,3ziq_B_A-B-C_0,A,0.297,0.106,0.106,0.297,3ziq
 107,4ezy_B_A-B_2,A,0.364,0.239,0.239,0.364,4ezy
 108,4jok_D_B-D_1,B,0.268,0.334,0.268,0.334,4jok
 109,5fpk_C_A-C_0,A,0.293,0.196,0.196,0.293,5fpk
 110,3cvl_B_A-B_0,A,0.333,0.176,0.176,0.333,3cvl
 111,4zhb_B_A-B_0,A,0.267,0.294,0.267,0.294,4zhb
 112,1a7c_B_A-B-C_0,A,0.379,0.176,0.176,0.379,1a7c
 113,5uw3_E_A-E_0,A,0.365,0.087,0.087,0.365,5uw3
 114,1sts_P_B-D-M-P_0,D,0.437,0.440,0.437,0.440,1sts
 115,1sts_P_B-D-M-P_0,A,0.438,0.436,0.436,0.438,1sts
 116,5gu4_C_A-C_0,A,0.294,0.179,0.179,0.294,5gu4
 117,1elr_B_A-B_0,A,0.255,0.247,0.247,0.255,1elr
 118,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.424,0.428,0.424,0.428,1kl3
 119,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.429,0.434,0.429,0.434,1kl3
 120,4o4y_A_A-H-L_0,L,0.291,0.203,0.203,0.291,4o4y
 121,4o4y_A_A-H-L_0,H,0.284,0.200,0.200,0.284,4o4y
 122,6hpg_c_C-c_2,C,0.287,0.297,0.287,0.297,6hpg
 123,2v3s_C_B-C_1,B,0.288,0.336,0.288,0.336,2v3s
 124,4c2c_B_A-B-C_0,A,0.349,0.132,0.132,0.349,4c2c
 125,1oxn_F_E-F_7,E,0.257,0.305,0.257,0.305,1oxn
 126,3cww_E_A-B-D-E_0,A,0.317,0.058,0.058,0.317,3cww
 127,3ebb_F_A-B-E-F_0,B,0.271,0.162,0.162,0.271,3ebb
 128,3drk_B_A-B_0,A,0.341,0.107,0.107,0.341,3drk
 129,4k75_B_A-B_0,A,0.271,0.338,0.271,0.338,4k75
 130,1kyd_P_A-P_0,A,0.363,0.206,0.206,0.363,1kyd
 131,4bjt_E_B-E_2,B,0.316,0.271,0.271,0.316,4bjt
 132,3dri_B_A-B_0,A,0.335,0.110,0.110,0.335,3dri
 133,5k4f_C_A-C_0,A,0.269,0.334,0.269,0.334,5k4f
 134,5yba_B_A-B-C-D_0,A,0.293,0.235,0.235,0.293,5yba
 135,2bgr_Y_A-B-Y-Z_0,A,0.415,0.083,0.083,0.415,2bgr
 136,4kg9_B_A-B_0,A,0.307,0.284,0.284,0.307,4kg9
 137,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.351,0.166,0.166,0.351,2ot0
 138,4pz3_C_A-B-C_0,B,0.305,0.267,0.267,0.305,4pz3
 139,3srj_D_A-C-D_0,A,0.339,0.174,0.174,0.339,3srj
 140,6cdc_C_A-C_0,A,0.431,0.351,0.351,0.431,6cdc
 141,5d9g_C_A-C_0,A,0.366,0.218,0.218,0.366,5d9g
 142,4rxh_A_A-B-C_0,B,0.293,0.104,0.104,0.293,4rxh
 143,4ouc_B_A-B_0,A,0.346,0.164,0.164,0.346,4ouc
 144,3vqg_B_A-B_0,A,0.279,0.362,0.279,0.362,3vqg
 145,1b46_B_A-B_0,A,0.360,0.128,0.128,0.360,1b46
 146,2foo_B_A-B_0,A,0.312,0.289,0.289,0.312,2foo
 147,4es0_C_A-C_0,A,0.364,0.187,0.187,0.364,4es0
 148,3shb_B_A-B_0,A,0.213,0.306,0.213,0.306,3shb
 149,6fkp_G_C-G_2,C,0.196,0.301,0.196,0.301,6fkp
 150,3lca_Q_A-Q_0,A,0.305,0.101,0.101,0.305,3lca
 151,5azf_C_A-C_0,A,0.274,0.278,0.274,0.278,5azf
 152,2hl3_C_A-B-C_0,A,0.233,0.336,0.233,0.336,2hl3
 153,2hl3_C_A-B-C_0,B,0.236,0.359,0.236,0.359,2hl3
 154,4gyo_C_A-B-C-D_0,B,0.314,0.145,0.145,0.314,4gyo
 155,3rte_B_A-B_0,G,0.321,0.116,0.116,0.321,3rte
 156,3rte_B_A-B_0,A,0.321,0.116,0.116,0.321,3rte
 157,6exj_B_A-B_0,A,0.261,0.333,0.261,0.333,6exj
 158,4k3q_E_A-B-E_0,A,0.338,0.151,0.151,0.338,4k3q
 159,1nvs_B_A-B_0,A,0.354,0.194,0.194,0.354,1nvs
 160,2h59_D_A-B-D-E_0,A,0.314,0.189,0.189,0.314,2h59
 161,2h59_D_A-B-D-E_0,B,0.318,0.189,0.189,0.318,2h59
 162,5zw6_C_A-B-C-D_0,A,0.291,0.122,0.122,0.291,5zw6
 163,1sua_C_A-C_0,A,0.325,0.196,0.196,0.325,1sua
 164,3soq_Z_A-Z_0,A,0.367,0.176,0.176,0.367,3soq
