index,syst,chain,tm1,tm2,min,max,pdb
  28,1fch_C_A-B-C-D_2,A,0.359,0.205,0.205,0.359,1fch
  29,4wnn_T_C-D-T_3,D,0.270,0.346,0.270,0.346,4wnn
  30,4wnn_T_C-D-T_3,C,0.279,0.408,0.279,0.408,4wnn
  31,3drh_B_A-B_0,A,0.376,0.133,0.133,0.376,3drh
  32,4hxj_C_A-C_0,A,0.168,0.276,0.168,0.276,4hxj
  33,4k76_G_C-G_2,C,0.263,0.333,0.263,0.333,4k76
  34,1b46_B_A-B_0,A,0.373,0.132,0.132,0.373,1b46
  35,2v3s_C_B-C_1,B,0.360,0.445,0.360,0.445,2v3s
  36,3s9c_B_A-B_0,A,0.301,0.211,0.211,0.301,3s9c
  37,5fow_E_A-E_0,A,0.331,0.229,0.229,0.331,5fow
  38,2v1r_R_A-Q-R_0,A,0.182,0.269,0.182,0.269,2v1r
  39,4c2g_B_A-B-C_0,A,0.344,0.138,0.138,0.344,4c2g
  40,3t70_F_A-B-C-F_0,A,0.319,0.294,0.294,0.319,3t70
  41,3t70_F_A-B-C-F_0,B,0.317,0.309,0.309,0.317,3t70
  42,3mmg_C_A-C_0,A,0.298,0.215,0.215,0.298,3mmg
  43,3ufm_B_A-B_0,A,0.331,0.225,0.225,0.331,3ufm
  44,4z8j_B_A-B_0,A,0.291,0.364,0.291,0.364,4z8j
  45,4ny3_C_A-C_0,A,0.477,0.254,0.254,0.477,4ny3
  46,4ezy_B_A-B_2,A,0.318,0.223,0.223,0.318,4ezy
  47,4cic_Q_A-B-Q_0,A,0.391,0.378,0.378,0.391,4cic
  48,4cic_Q_A-B-Q_0,B,0.391,0.380,0.380,0.391,4cic
  49,1obz_P_A-B-P_0,A,0.254,0.220,0.220,0.254,1obz
  50,4nnm_C_A-C_0,A,0.261,0.290,0.261,0.290,4nnm
  51,3woq_C_A-B-C-D_0,A,0.359,0.100,0.100,0.359,3woq
  52,4odk_C_A-B-C_0,A,0.275,0.249,0.249,0.275,4odk
  53,6ew9_P_A-B-C-P-Q-R_0,A,0.301,0.169,0.169,0.301,6ew9
  54,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.318,0.336,0.318,0.336,1kl3
  55,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.316,0.334,0.316,0.334,1kl3
  56,5oj5_B_A-B_0,A,0.354,0.190,0.190,0.354,5oj5
  57,3nih_B_A-B_0,A,0.229,0.306,0.229,0.306,3nih
  58,5tu5_B_A-B_0,A,0.315,0.166,0.166,0.315,5tu5
  59,1evh_B_A-B_0,A,0.262,0.294,0.262,0.294,1evh
  60,1rzx_B_A-B_0,A,0.305,0.376,0.305,0.376,1rzx
  61,3rte_B_A-B_0,G,0.311,0.117,0.117,0.311,3rte
  62,3rte_B_A-B_0,A,0.311,0.117,0.117,0.311,3rte
  63,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.292,0.368,0.292,0.368,1xb0
  64,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.289,0.364,0.289,0.364,1xb0
  65,4od7_E_C-E_2,C,0.301,0.231,0.231,0.301,4od7
  66,3rta_B_A-B_0,F,0.310,0.119,0.119,0.310,3rta
  67,3rta_B_A-B_0,A,0.310,0.119,0.119,0.310,3rta
  68,4pyw_B_A-B-C_0,A,0.317,0.141,0.141,0.317,4pyw
  69,2r9q_X_A-C-X_1,C,0.368,0.194,0.194,0.368,2r9q
  70,3sxu_C_A-B-C_0,A,0.273,0.254,0.254,0.273,3sxu
  71,5iag_D_A-B-D_0,A,0.343,0.224,0.224,0.343,5iag
  72,4j45_B_A-B_0,A,0.286,0.373,0.286,0.373,4j45
  73,3ny3_B_A-B_0,A,0.204,0.299,0.204,0.299,3ny3
  74,5fov_E_A-E_0,A,0.366,0.233,0.233,0.366,5fov
  75,3gq1_C_A-C_0,A,0.282,0.394,0.282,0.394,3gq1
  76,3ou3_C_A-B-C_0,A,0.280,0.338,0.280,0.338,3ou3
  77,3ou3_C_A-B-C_0,B,0.280,0.338,0.280,0.338,3ou3
  78,1lvm_C_A-C-E_0,A,0.288,0.202,0.202,0.288,1lvm
  79,2b6n_B_A-B_0,A,0.337,0.197,0.197,0.337,2b6n
  80,2wa8_D_C-D_1,C,0.279,0.337,0.279,0.337,2wa8
  81,5jiu_C_A-B-C-D_0,A,0.328,0.235,0.235,0.328,5jiu
