index,syst,chain,tm1,tm2,min,max,pdb
  27,1w9e_S_A-B-R-S-T_0,B,0.203,0.313,0.203,0.313,1w9e
  28,5lb7_C_A-B-C_0,A,0.262,0.415,0.262,0.415,5lb7
  29,5lb7_C_A-B-C_0,B,0.183,0.633,0.183,0.633,5lb7
  30,1sem_C_A-B-C-D_0,A,0.094,0.325,0.094,0.325,1sem
  31,4o51_N_A-B-N_1,A,0.202,0.255,0.202,0.255,4o51
  32,4o51_N_A-B-N_1,B,0.217,0.276,0.217,0.276,4o51
  33,4apo_D_B-D_1,B,0.365,0.668,0.365,0.668,4apo
  34,4jjq_B_A-B_0,A,0.162,0.282,0.162,0.282,4jjq
  35,5e6o_E_B-E_1,B,0.171,0.360,0.171,0.360,5e6o
  36,6eja_B_A-B_0,A,0.330,0.179,0.179,0.330,6eja
  37,3nik_X_D-X_2,D,0.111,0.267,0.111,0.267,3nik
  38,4f75_C_A-B-C-D_0,A,0.177,0.394,0.177,0.394,4f75
  39,4f75_C_A-B-C-D_0,B,0.162,0.352,0.162,0.352,4f75
  40,4j84_D_B-D_1,B,0.304,0.309,0.304,0.309,4j84
  41,3zin_C_A-B-C_0,A,0.397,0.307,0.307,0.397,3zin
  42,5lyn_C_A-B-C-D_0,A,0.385,0.829,0.385,0.829,5lyn
  43,5lyn_C_A-B-C-D_0,B,0.378,0.804,0.378,0.804,5lyn
  44,4jok_D_B-D_1,B,0.122,0.287,0.122,0.287,4jok
  45,3thk_C_A-C_0,A,0.102,0.310,0.102,0.310,3thk
  46,1uoq_B_A-B_0,A,0.334,0.182,0.182,0.334,1uoq
  47,3fwv_C_A-C_0,A,0.366,0.798,0.366,0.798,3fwv
  48,4kg9_B_A-B_0,A,0.162,0.285,0.162,0.285,4kg9
  49,4gne_B_A-B_0,A,0.167,0.358,0.167,0.358,4gne
  50,4que_E_A-C-D-E-H-J_0,A,0.260,0.309,0.260,0.309,4que
  51,5k4f_C_A-C_0,A,0.119,0.290,0.119,0.290,5k4f
  52,4mvk_B_A-B_0,A,0.210,0.318,0.210,0.318,4mvk
  53,3zs6_B_A-B_0,A,0.325,0.227,0.227,0.325,3zs6
  54,4pyw_B_A-B-C_0,A,0.247,0.217,0.217,0.247,4pyw
  55,5kzt_C_A-C_0,A,0.335,0.232,0.232,0.335,5kzt
  56,2ce9_X_A-B-X_0,A,0.308,0.286,0.286,0.308,2ce9
  57,3rt9_B_A-B_0,F,0.344,0.241,0.241,0.344,3rt9
  58,3rt9_B_A-B_0,A,0.344,0.241,0.241,0.344,3rt9
  59,4fii_B_A-B_0,A,0.296,0.303,0.296,0.303,4fii
  60,3q47_C_B-C_0,B,0.381,0.814,0.381,0.814,3q47
  61,3srj_D_A-C-D_0,A,0.297,0.299,0.297,0.299,3srj
