index,syst,chain,tm1,tm2,min,max,pdb
 151,4k3p_E_A-B-E_0,A,0.318,0.142,0.142,0.318,4k3p
 152,5sxm_D_B-D_1,B,0.355,0.188,0.188,0.355,5sxm
 153,1oxn_F_E-F_7,E,0.257,0.305,0.257,0.305,1oxn
 154,3ou3_C_A-B-C_0,A,0.251,0.289,0.251,0.289,3ou3
 155,3ou3_C_A-B-C_0,B,0.251,0.289,0.251,0.289,3ou3
 156,3lny_B_A-B_0,A,0.267,0.316,0.267,0.316,3lny
 157,3njj_B_A-B_0,A,0.319,0.342,0.319,0.342,3njj
 158,2foj_B_A-B_0,A,0.371,0.345,0.345,0.371,2foj
 159,4cic_Q_A-B-Q_0,A,0.254,0.237,0.237,0.254,4cic
 160,4cic_Q_A-B-Q_0,B,0.304,0.281,0.281,0.304,4cic
 161,5fox_C_A-C_0,A,0.313,0.211,0.211,0.313,5fox
 162,3oqs_B_A-B_0,A,0.278,0.113,0.113,0.278,3oqs
 163,3lca_Q_A-Q_0,A,0.296,0.104,0.104,0.296,3lca
 164,3zin_C_A-B-C_0,A,0.263,0.114,0.114,0.263,3zin
 165,3f7o_X_A-X_0,A,0.322,0.185,0.185,0.322,3f7o
 166,5m5t_E_A-E-G-I_0,A,0.402,0.183,0.183,0.402,5m5t
 167,3rte_B_A-B_0,G,0.330,0.124,0.124,0.330,3rte
 168,3rte_B_A-B_0,A,0.330,0.124,0.124,0.330,3rte
 169,3q47_C_B-C_0,B,0.249,0.237,0.237,0.249,3q47
 170,5m5r_D_A-C-D_0,A,0.359,0.161,0.161,0.359,5m5r
 171,6cdg_B_A-B_0,A,0.649,0.508,0.508,0.649,6cdg
 172,4m38_E_A-B-E-F_0,A,0.296,0.150,0.150,0.296,4m38
 173,3ziq_B_A-B-C_0,A,0.268,0.113,0.113,0.268,3ziq
 174,1ghb_P_E-F-G-P_0,F,0.336,0.322,0.322,0.336,1ghb
 175,1ghb_P_E-F-G-P_0,G,0.277,0.328,0.277,0.328,1ghb
 176,1ghb_P_E-F-G-P_0,C,0.277,0.328,0.277,0.328,1ghb
 177,1ghb_P_E-F-G-P_0,B,0.336,0.322,0.322,0.336,1ghb
 178,1jwg_D_B-D_1,B,0.267,0.248,0.248,0.267,1jwg
 179,1yth_I_A-B-I_0,A,0.251,0.288,0.251,0.288,1yth
 180,1yth_I_A-B-I_0,B,0.289,0.331,0.289,0.331,1yth
 181,2v1r_R_A-Q-R_0,A,0.239,0.369,0.239,0.369,2v1r
 182,4gyo_C_A-B-C-D_0,B,0.273,0.135,0.135,0.273,4gyo
 183,4faf_D_A-B-D_0,A,0.291,0.334,0.291,0.334,4faf
 184,4faf_D_A-B-D_0,B,0.294,0.336,0.294,0.336,4faf
 185,3rt9_B_A-B_0,F,0.331,0.124,0.124,0.331,3rt9
 186,3rt9_B_A-B_0,A,0.331,0.124,0.124,0.331,3rt9
 187,2h9m_D_C-D_1,C,0.388,0.201,0.201,0.388,2h9m
 188,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.946,0.969,0.946,0.969,1kl3
 189,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.947,0.971,0.947,0.971,1kl3
 190,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.318,0.187,0.187,0.318,2z9i
 191,1kyd_P_A-P_0,A,0.363,0.220,0.220,0.363,1kyd
 192,4ikn_B_A-B_0,A,0.372,0.229,0.229,0.372,4ikn
 193,1sdz_B_A-B_0,A,0.268,0.313,0.268,0.313,1sdz
 194,4c2c_B_A-B-C_0,A,0.330,0.124,0.124,0.330,4c2c
 195,3s9c_B_A-B_0,A,0.346,0.221,0.221,0.346,3s9c
 196,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.367,0.174,0.174,0.367,2ot0
 197,2f5b_P_H-L-P_0,L,0.383,0.259,0.259,0.383,2f5b
 198,2f5b_P_H-L-P_0,H,0.398,0.260,0.260,0.398,2f5b
 199,1b4z_B_A-B_0,A,0.366,0.124,0.124,0.366,1b4z
 200,4iim_E_A-B-C-D-E_0,B,0.223,0.339,0.223,0.339,4iim
 201,2r9q_X_A-C-X_1,C,0.297,0.157,0.157,0.297,2r9q
 202,6exj_B_A-B_0,A,0.265,0.333,0.265,0.333,6exj
 203,1uoq_B_A-B_0,A,0.379,0.091,0.091,0.379,1uoq
 204,3mmg_C_A-C_0,A,0.309,0.206,0.206,0.309,3mmg
 205,4hxj_C_A-C_0,A,0.219,0.351,0.219,0.351,4hxj
 206,5ovv_B_A-B_0,A,0.289,0.332,0.289,0.332,5ovv
 207,5uw3_E_A-E_0,A,0.365,0.091,0.091,0.365,5uw3
 208,3wor_C_A-B-C-D_0,A,0.374,0.097,0.097,0.374,3wor
 209,4joh_D_A-D_0,A,0.256,0.321,0.256,0.321,4joh
 210,5fpk_C_A-C_0,A,0.305,0.205,0.205,0.305,5fpk
 211,5kzt_C_A-C_0,A,0.349,0.121,0.121,0.349,5kzt
 212,1se0_B_A-B_0,A,0.268,0.314,0.268,0.314,1se0
 213,2hpl_B_A-B_0,A,0.266,0.300,0.266,0.300,2hpl
 214,3psl_D_B-D_1,B,0.370,0.198,0.198,0.370,3psl
 215,4j79_B_A-B_0,A,0.377,0.197,0.197,0.377,4j79
 216,2nph_S_A-B-S-T_0,A,0.251,0.287,0.251,0.287,2nph
