index,syst,chain,tm1,tm2,min,max,pdb
  49,2h2f_B_A-B_0,A,0.303,0.197,0.197,0.303,2h2f
  50,4f74_C_A-B-C_0,A,0.303,0.348,0.303,0.348,4f74
  51,4f74_C_A-B-C_0,B,0.291,0.329,0.291,0.329,4f74
  52,3jrv_D_B-D_1,B,0.275,0.246,0.246,0.275,3jrv
  53,6exj_B_A-B_0,A,0.272,0.335,0.272,0.335,6exj
  54,2fop_B_A-B_0,A,0.379,0.349,0.349,0.379,2fop
  55,4q6f_H_C-H_2,C,0.181,0.279,0.181,0.279,4q6f
  56,4kg9_B_A-B_0,A,0.371,0.340,0.340,0.371,4kg9
  57,1mfl_B_A-B_0,A,0.273,0.317,0.273,0.317,1mfl
  58,5eyz_E_A-E_0,A,0.262,0.312,0.262,0.312,5eyz
  59,1oxn_F_E-F_7,E,0.258,0.302,0.258,0.302,1oxn
  60,3cbl_B_A-B_0,A,0.346,0.159,0.159,0.346,3cbl
  61,3nfk_D_A-B-C-D_2,B,0.259,0.316,0.259,0.316,3nfk
  62,5grg_D_A-B-C-D_0,A,0.361,0.199,0.199,0.361,5grg
  63,5v5p_A_A-B-C_0,C,0.264,0.115,0.115,0.264,5v5p
  64,6eja_B_A-B_0,A,0.382,0.104,0.104,0.382,6eja
  65,4gne_B_A-B_0,A,0.283,0.318,0.283,0.318,4gne
  66,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.327,0.190,0.190,0.327,2z9i
  67,5d9g_C_A-C_0,A,0.443,0.263,0.263,0.443,5d9g
  68,3mqr_B_A-B_0,A,0.379,0.348,0.348,0.379,3mqr
  69,5b74_D_A-B-D_0,B,0.275,0.267,0.267,0.275,5b74
  70,2orz_B_A-B_0,A,0.388,0.186,0.186,0.388,2orz
  71,5iza_B_A-B_0,A,0.300,0.147,0.147,0.300,5iza
  72,1wcy_C_A-B-C-D_0,A,0.422,0.094,0.094,0.422,1wcy
  73,5wir_D_A-B-C-D_0,B,0.255,0.180,0.180,0.255,5wir
  74,3f6k_N_A-N_0,A,0.396,0.099,0.099,0.396,3f6k
  75,1svz_C_A-B-C-D_0,A,0.374,0.236,0.236,0.374,1svz
  76,3agy_C_A-B-C-D-F_0,A,0.289,0.224,0.224,0.289,3agy
