index,syst,chain,tm1,tm2,min,max,pdb
  70,1w9e_S_A-B-R-S-T_0,B,0.963,0.450,0.450,0.963,1w9e
  71,4g69_B_A-B_0,A,0.888,0.705,0.705,0.888,4g69
  72,3l81_B_A-B_0,A,0.349,0.151,0.151,0.349,3l81
  73,3rc5_B_A-B_0,A,0.365,0.196,0.196,0.365,3rc5
  74,4quh_D_A-C-D-I-J_0,A,0.374,0.153,0.153,0.374,4quh
  75,4xi7_C_A-C_0,A,0.307,0.100,0.100,0.307,4xi7
  76,1qka_B_A-B_0,A,0.389,0.098,0.098,0.389,1qka
  77,3g19_C_A-C_0,A,0.358,0.332,0.332,0.358,3g19
  78,4iim_E_A-B-C-D-E_0,B,0.283,0.337,0.283,0.337,4iim
  79,3rte_B_A-B_0,G,0.434,0.100,0.100,0.434,3rte
  80,3rte_B_A-B_0,A,0.434,0.100,0.100,0.434,3rte
  81,3nih_B_A-B_0,A,0.300,0.291,0.291,0.300,3nih
  82,4ezy_B_A-B_2,A,0.294,0.153,0.153,0.294,4ezy
  83,1obz_P_A-B-P_0,A,0.971,0.454,0.454,0.971,1obz
  84,3shb_B_A-B_0,A,0.276,0.294,0.276,0.294,3shb
  85,4z88_V_J-V_1,J,0.279,0.293,0.279,0.293,4z88
  86,1b51_B_A-B_0,A,0.387,0.093,0.093,0.387,1b51
  87,1e4x_P_H-L-P_0,L,0.323,0.169,0.169,0.323,1e4x
  88,1e4x_P_H-L-P_0,H,0.362,0.176,0.176,0.362,1e4x
  89,3m5m_C_B-C_1,B,0.364,0.187,0.187,0.364,3m5m
  90,4q6f_H_C-H_2,C,0.255,0.302,0.255,0.302,4q6f
  91,4nnm_C_A-C_0,A,0.920,0.639,0.639,0.920,4nnm
  92,5m5u_G_A-E-G_0,A,0.394,0.120,0.120,0.394,5m5u
  93,1oxn_F_E-F_7,E,0.283,0.248,0.248,0.283,1oxn
  94,2zgh_B_A-B_0,A,0.313,0.148,0.148,0.313,2zgh
  95,3srj_D_A-C-D_0,A,0.399,0.153,0.153,0.399,3srj
  96,1str_M_B-D-M-P_0,C,0.330,0.241,0.241,0.330,1str
  97,1str_M_B-D-M-P_0,B,0.324,0.239,0.239,0.324,1str
  98,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.373,0.154,0.154,0.373,5fjz
  99,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.370,0.156,0.156,0.370,5fjz
 100,2orz_B_A-B_0,A,0.413,0.133,0.133,0.413,2orz
 101,3cvl_B_A-B_0,A,0.311,0.115,0.115,0.311,3cvl
 102,5fgb_G_B-E-G_1,E,0.376,0.176,0.176,0.376,5fgb
 103,5fgb_G_B-E-G_1,B,0.365,0.183,0.183,0.365,5fgb
 104,4bjt_E_B-E_2,B,0.357,0.226,0.226,0.357,4bjt
 105,3qhw_L_A-B-J-L_0,B,0.324,0.142,0.142,0.324,3qhw
 106,3nii_B_A-B_0,A,0.302,0.293,0.293,0.302,3nii
 107,2i3h_C_A-C_0,A,0.302,0.271,0.271,0.302,2i3h
 108,3fp4_Q_A-Q_0,A,0.315,0.071,0.071,0.315,3fp4
 109,3vqg_B_A-B_0,A,0.834,0.752,0.752,0.834,3vqg
 110,1u9l_C_B-C_1,B,0.273,0.282,0.273,0.282,1u9l
 111,4ouc_B_A-B_0,A,0.358,0.115,0.115,0.358,4ouc
 112,3nfl_G_B-C-F-G_5,C,0.891,0.764,0.764,0.891,3nfl
 113,3njj_B_A-B_0,A,0.287,0.224,0.224,0.287,3njj
 114,2h9m_D_C-D_1,C,0.330,0.123,0.123,0.330,2h9m
 115,1b58_B_A-B_0,A,0.390,0.097,0.097,0.390,1b58
 116,3ou3_C_A-B-C_0,A,0.325,0.273,0.273,0.325,3ou3
 117,3ou3_C_A-B-C_0,B,0.324,0.273,0.273,0.324,3ou3
 118,2ce9_X_A-B-X_0,A,0.322,0.111,0.111,0.322,2ce9
 119,5jiu_C_A-B-C-D_0,A,0.344,0.159,0.159,0.344,5jiu
 120,1ghb_P_E-F-G-P_0,F,0.308,0.225,0.225,0.308,1ghb
 121,1ghb_P_E-F-G-P_0,G,0.327,0.282,0.282,0.327,1ghb
 122,1ghb_P_E-F-G-P_0,C,0.327,0.282,0.282,0.327,1ghb
 123,1ghb_P_E-F-G-P_0,B,0.308,0.225,0.225,0.308,1ghb
 124,1sdz_B_A-B_0,A,0.309,0.263,0.263,0.309,1sdz
 125,4x2h_C_A-B-C_0,A,0.328,0.181,0.181,0.328,4x2h
 126,2v17_A_A-H-L_0,L,0.350,0.173,0.173,0.350,2v17
 127,2v17_A_A-H-L_0,H,0.355,0.167,0.167,0.355,2v17
 128,2y7l_B_A-B_0,A,0.309,0.117,0.117,0.309,2y7l
 129,1hsb_C_A-B-C_0,A,0.332,0.134,0.134,0.332,1hsb
 130,5d9g_C_A-C_0,A,0.310,0.143,0.143,0.310,5d9g
 131,5oj5_B_A-B_0,A,0.340,0.117,0.117,0.340,5oj5
