index,syst,chain,tm1,tm2,min,max,pdb
  58,4iim_E_A-B-C-D-E_0,B,0.109,0.271,0.109,0.271,4iim
  59,6cd8_C_A-C_0,A,0.233,0.273,0.233,0.273,6cd8
  60,3nil_X_D-X_2,D,0.181,0.350,0.181,0.350,3nil
  61,4k75_B_A-B_0,A,0.186,0.352,0.186,0.352,4k75
  62,4k76_G_C-G_2,C,0.189,0.352,0.189,0.352,4k76
  63,4mz6_A_A-C-E_0,E,0.266,0.158,0.158,0.266,4mz6
  64,5lyn_C_A-B-C-D_0,A,0.191,0.263,0.191,0.263,5lyn
  65,5lyn_C_A-B-C-D_0,B,0.208,0.287,0.208,0.287,5lyn
  66,1ghb_P_E-F-G-P_0,F,0.217,0.312,0.217,0.312,1ghb
  67,1ghb_P_E-F-G-P_0,G,0.190,0.331,0.190,0.331,1ghb
  68,1ghb_P_E-F-G-P_0,C,0.190,0.331,0.190,0.331,1ghb
  69,1ghb_P_E-F-G-P_0,B,0.217,0.312,0.217,0.312,1ghb
  70,1evh_B_A-B_0,A,0.179,0.301,0.179,0.301,1evh
  71,1olc_B_A-B_0,A,0.366,0.186,0.186,0.366,1olc
  72,4ezy_B_A-B_2,A,0.251,0.248,0.248,0.251,4ezy
  73,5iz2_Z_A-B-Z_0,B,0.253,0.370,0.253,0.370,5iz2
  74,3f7o_X_A-X_0,A,0.255,0.210,0.210,0.255,3f7o
  75,4o51_N_A-B-N_1,A,0.872,0.868,0.868,0.872,4o51
  76,4o51_N_A-B-N_1,B,0.670,0.670,0.670,0.670,4o51
  77,1b5i_B_A-B_0,A,0.364,0.186,0.186,0.364,1b5i
  78,2v3s_C_B-C_1,B,0.187,0.318,0.187,0.318,2v3s
  79,2g30_S_A-P-S_0,A,0.364,0.343,0.343,0.364,2g30
  80,5fox_C_A-C_0,A,0.247,0.241,0.241,0.247,5fox
  81,5m5t_E_A-E-G-I_0,A,0.320,0.222,0.222,0.320,5m5t
  82,3o2b_D_C-D_1,C,0.192,0.310,0.192,0.310,3o2b
  83,3m5m_C_B-C_1,B,0.213,0.226,0.213,0.226,3m5m
  84,5b74_D_A-B-D_0,B,0.192,0.264,0.192,0.264,5b74
  85,1obz_P_A-B-P_0,A,0.246,0.294,0.246,0.294,1obz
  86,4x2h_C_A-B-C_0,A,0.222,0.241,0.222,0.241,4x2h
  87,5nqv_G_A-C-E-G_0,C,0.218,0.235,0.218,0.235,5nqv
  88,5azf_C_A-C_0,A,0.216,0.344,0.216,0.344,5azf
  89,5y53_F_C-E-F_1,C,0.221,0.314,0.221,0.314,5y53
  90,5y53_F_C-E-F_1,E,0.233,0.335,0.233,0.335,5y53
  91,1tw6_C_A-B-C-D_2,F,0.178,0.320,0.178,0.320,1tw6
  92,1tw6_C_A-B-C-D_2,A,0.177,0.332,0.177,0.332,1tw6
  93,3ebb_F_A-B-E-F_0,B,0.266,0.231,0.231,0.266,3ebb
  94,4z88_V_J-V_1,J,0.148,0.314,0.148,0.314,4z88
  95,3m5n_F_B-F_1,B,0.250,0.262,0.250,0.262,3m5n
  96,1b51_B_A-B_0,A,0.363,0.185,0.185,0.363,1b51
  97,3ifo_P_H-L-P_0,L,0.943,0.927,0.927,0.943,3ifo
  98,3ifo_P_H-L-P_0,H,0.739,0.733,0.733,0.739,3ifo
